
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
10000 	26 	3 	1,0000	936,0970	1.7
10000 	26 	3 	0,5000	929,0250	3.5
10000 	26 	3 	0,1000	929,3660	16.8
10000 	26 	3 	0,0500	930,4280	24.3
10000 	26 	3 	0,0100	942,2970	25.2
10000 	27 	0 	1,0000	929,2730	2.0
10000 	27 	0 	0,5000	927,2125	3.3
10000 	27 	0 	0,1000	925,7515	17.6
10000 	27 	0 	0,0500	924,5490	24.4
10000 	27 	0 	0,0100	925,4470	23.5
10000 	27 	1 	1,0000	932,5420	1.9
10000 	27 	1 	0,5000	926,3620	4.2
10000 	27 	1 	0,1000	925,5300	19.0
10000 	27 	1 	0,0500	926,2315	23.8
10000 	27 	1 	0,0100	929,3220	26.4
10000 	27 	2 	1,0000	935,7650	1.9
10000 	27 	2 	0,5000	928,8730	3.9
10000 	27 	2 	0,1000	928,2805	19.3
10000 	27 	2 	0,0500	927,7310	26.5
10000 	27 	2 	0,0100	932,8635	30.0
10000 	27 	3 	1,0000	934,8605	1.8
10000 	27 	3 	0,5000	929,6535	3.4
10000 	27 	3 	0,1000	929,4345	17.8
10000 	27 	3 	0,0500	929,3365	26.8
